word,n
af,4
al,4
alle,4
alt,4
an,4
anden,4
andre,4
ar,4
as,4
at,4
ban,4
bar,4
be,4
blev,4
bleven,4
blive,4
bliver,4
cg,4
da,4
dag,4
dage,4
de,4
deel,4
del,4
dem,4
den,4
denne,4
der,4
deres,4
derfor,4
det,4
dette,4
die,4
disse,4
dog,4
efter,4
eg,4
el,4
eller,4
en,4
end,4
endnu,4
er,4
ere,4
ester,4
et,4
februar,4
flere,4
for,4
fra,4
faae,4
god,4
gode,4
godt,4
ham,4
han,4
hans,4
har,4
havde,4
have,4
hele,4
her,4
herved,4
hos,4
hr,4
hun,4
hvad,4
hver,4
hvilket,4
hvis,4
hvor,4
ikke,4
il,4
imod,4
in,4
ind,4
ingen,4
januar,4
jeg,4
kan,4
kl,4
kun,4
kunde,4
kunne,4
li,4
lige,4
lille,4
man,4
mand,4
mange,4
med,4
meget,4
men,4
mere,4
mig,4
min,4
mk,4
mod,4
maa,4
maatte,4
ni,4
nogen,4
noget,4
nogle,4
nr,4
nu,4
nye,4
naar,4
og,4
ogsaa,4
om,4
os,4
over,4
pige,4
pr,4
paa,4
re,4
ret,4
sal,4
samme,4
samt,4
selv,4
si,4
siden,4
sidste,4
sig,4
sin,4
sine,4
sit,4
som,4
sor,4
st,4
stal,4
sted,4
stor,4
store,4
stuen,4
saa,4
te,4
ten,4
ter,4
ti,4
tid,4
til,4
tilleie,4
to,4
ud,4
uden,4
under,4
var,4
vare,4
ved,4
vel,4
vi,4
vil,4
vilde,4
ville,4
vor,4
være,4
aar,4
allerede,3
billet,3
cn,3
enhver,3
faa,3
grund,3
gaae,3
ii,3
komme,3
land,3
mindre,3
na,3
op,3
rr,3
sk,3
ste,3
strar,3
tdr,3
tilbage,3
